2022-05-20 03:33:41,018 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 03:34:29,724 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 03:34:43,958 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 03:34:43,960 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 03:34:43,962 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:34:46,875 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 03:36:26,043 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 03:36:26,044 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 03:36:26,044 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:36:41,228 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:36:56,374 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 03:37:02,661 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:37:05,405 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 03:38:04,838 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 03:39:48,829 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:39:51,700 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 03:43:16,640 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 03:45:10,424 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 03:45:10,424 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 03:45:10,425 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:45:13,189 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
